ref,cor,url
029296,01,https://photo.anselmi.ind.br/Fotos/29296_01.jpg
046964,ROSA,https://photo.anselmi.ind.br/Fotos/46964_rosa.jpg
010920,10,https://photo.anselmi.ind.br/Fotos/10920_10.jpg
026414,AMARELA,https://photo.anselmi.ind.br/Fotos/26414_amarela.jpg
027630,2,https://photo.anselmi.ind.br/Fotos/27630_2.jpg
012940,D25,https://photo.anselmi.ind.br/Fotos/12940_d25.jpg
014460,02,https://photo.anselmi.ind.br/Fotos/14460_02.jpg
013278,10,https://photo.anselmi.ind.br/Fotos/13278_10.jpg
010441,01,https://photo.anselmi.ind.br/Fotos/10441_01.jpg
015108,01,https://photo.anselmi.ind.br/Fotos/15108_01.jpg
046291,04,https://photo.anselmi.ind.br/Fotos/46291_04.jpg
047396,06,https://photo.anselmi.ind.br/Fotos/47396_06.jpg
012628,01,https://photo.anselmi.ind.br/Fotos/12628_01.jpg
010287,01,https://photo.anselmi.ind.br/Fotos/10287_01.jpg
045884,10,https://photo.anselmi.ind.br/Fotos/45884_10.jpg
046164,10,https://photo.anselmi.ind.br/Fotos/46164_10.jpg
010614,10,https://photo.anselmi.ind.br/Fotos/10614_10.jpg
016390,10,https://photo.anselmi.ind.br/Fotos/16390_10.jpg
012339,10,https://photo.anselmi.ind.br/Fotos/12339_10.jpg
046957,03,https://photo.anselmi.ind.br/Fotos/46957_03.jpg
012788,01,https://photo.anselmi.ind.br/Fotos/12788_01.jpg
011451,10,https://photo.anselmi.ind.br/Fotos/11451_10.jpg
046670,01,https://photo.anselmi.ind.br/Fotos/46670_01.jpg
046291,02,https://photo.anselmi.ind.br/Fotos/46291_02.jpg
010395,10,https://photo.anselmi.ind.br/Fotos/10395_10.jpg
046696,01,https://photo.anselmi.ind.br/Fotos/46696_01.jpg
033877,1,https://photo.anselmi.ind.br/Fotos/33877_1.jpg
011762,10,https://photo.anselmi.ind.br/Fotos/11762_10.jpg
010289,01,https://photo.anselmi.ind.br/Fotos/10289_01.jpg
046823,E34,https://photo.anselmi.ind.br/Fotos/46823_e34.jpg
012631,10,https://photo.anselmi.ind.br/Fotos/12631_10.jpg
047637,02,https://photo.anselmi.ind.br/Fotos/47637_02.jpg
047487,01,https://photo.anselmi.ind.br/Fotos/47487_01.jpg
010844,01,https://photo.anselmi.ind.br/Fotos/10844_01.jpg
047386,03,https://photo.anselmi.ind.br/Fotos/47386_03.jpg
015753,PRETO,https://photo.anselmi.ind.br/Fotos/15753_preto.jpg
028661,PRETO,https://photo.anselmi.ind.br/Fotos/28661_preto.jpg
029229,1,https://photo.anselmi.ind.br/Fotos/29229_1.jpg
013080,D57,https://photo.anselmi.ind.br/Fotos/13080_d57.jpg
013135,05,https://photo.anselmi.ind.br/Fotos/13135_05.jpg
047580,02,https://photo.anselmi.ind.br/Fotos/47580_02.jpg
047528,09,https://photo.anselmi.ind.br/Fotos/47528_09.jpg
011834,01,https://photo.anselmi.ind.br/Fotos/11834_01.jpg
015048,E60,https://photo.anselmi.ind.br/Fotos/15048_e60.jpg
047528,04,https://photo.anselmi.ind.br/Fotos/47528_04.jpg
046004,COR05,https://photo.anselmi.ind.br/Fotos/46004_cor05.jpg
012545,01,https://photo.anselmi.ind.br/Fotos/12545_01.jpg
012339,01,https://photo.anselmi.ind.br/Fotos/12339_01.jpg
014819,E60,https://photo.anselmi.ind.br/Fotos/14819_e60.jpg
011471,10,https://photo.anselmi.ind.br/Fotos/11471_10.jpg
011780,02,https://photo.anselmi.ind.br/Fotos/11780_02.jpg
046896,E34,https://photo.anselmi.ind.br/Fotos/46896_e34.jpg
047528,02,https://photo.anselmi.ind.br/Fotos/47528_02.jpg
010135,VERDE,https://photo.anselmi.ind.br/Fotos/10135_verde.jpg
047455,10,https://photo.anselmi.ind.br/Fotos/47455_10.jpg
027064,ROSA,https://photo.anselmi.ind.br/Fotos/27064_rosa.jpg
012502,10,https://photo.anselmi.ind.br/Fotos/12502_10.jpg
047403,03,https://photo.anselmi.ind.br/Fotos/47403_03.jpg
047522,03,https://photo.anselmi.ind.br/Fotos/47522_03.jpg
012234,01,https://photo.anselmi.ind.br/Fotos/12234_01.jpg
046162,10,https://photo.anselmi.ind.br/Fotos/46162_10.jpg
046358,10,https://photo.anselmi.ind.br/Fotos/46358_10.jpg
013295,10,https://photo.anselmi.ind.br/Fotos/13295_10.jpg
047545,02,https://photo.anselmi.ind.br/Fotos/47545_02.jpg
016591,BEGE,https://photo.anselmi.ind.br/Fotos/16591_bege.jpg
012370,10,https://photo.anselmi.ind.br/Fotos/12370_10.jpg
015598,01,https://photo.anselmi.ind.br/Fotos/15598_01.jpg
012654,10,https://photo.anselmi.ind.br/Fotos/12654_10.jpg
047527,02,https://photo.anselmi.ind.br/Fotos/47527_02.jpg
012934,04,https://photo.anselmi.ind.br/Fotos/12934_04.jpg
011354,01,https://photo.anselmi.ind.br/Fotos/11354_01.jpg
029171,2,https://photo.anselmi.ind.br/Fotos/29171_2.jpg
047537,02,https://photo.anselmi.ind.br/Fotos/47537_02.jpg
027257,01,https://photo.anselmi.ind.br/Fotos/27257_01.jpg
000419,01,https://photo.anselmi.ind.br/Fotos/00419_01.jpg
016908,10,https://photo.anselmi.ind.br/Fotos/16908_10.jpg
012588,10,https://photo.anselmi.ind.br/Fotos/12588_10.jpg
029422,04,https://photo.anselmi.ind.br/Fotos/29422_04.jpg
015693,01,https://photo.anselmi.ind.br/Fotos/15693_01.jpg
012515,01,https://photo.anselmi.ind.br/Fotos/12515_01.jpg
029018,01,https://photo.anselmi.ind.br/Fotos/29018_01.jpg
029793,01,https://photo.anselmi.ind.br/Fotos/29793_01.jpg
011326,01,https://photo.anselmi.ind.br/Fotos/11326_01.jpg
029393,1620300445,https://photo.anselmi.ind.br/Fotos/29393_1620300445.jpg
027065,01,https://photo.anselmi.ind.br/Fotos/27065_01.jpg
012957,10,https://photo.anselmi.ind.br/Fotos/12957_10.jpg
013285,E59,https://photo.anselmi.ind.br/Fotos/13285_e59.jpg
012934,02,https://photo.anselmi.ind.br/Fotos/12934_02.jpg
012788,02,https://photo.anselmi.ind.br/Fotos/12788_02.jpg
047451,01,https://photo.anselmi.ind.br/Fotos/47451_01.jpg
029543,01,https://photo.anselmi.ind.br/Fotos/29543_01.jpg
